circuit,method,initial_gates,final_gates,initial_2q,final_2q,initial_t,final_t
paper_rc_adder_6,teleport_reduce,200,353,93,83,77,67
paper_rc_adder_6,agent_R_v2,200,171,93,81,77,59
paper_rc_adder_6,agent_P_v2,200,171,93,81,77,59
paper_rc_adder_6,agent_A_v2,200,171,93,81,77,59
paper_tof_10,basic_opt,255,247,102,102,119,103
paper_tof_10,full_reduce,255,378,102,158,119,59
paper_tof_10,teleport_reduce,255,455,102,102,119,103
paper_tof_10,agent_R_v2,255,241,102,99,119,97
paper_tof_10,agent_P_v2,255,239,102,98,119,95
paper_tof_10,agent_A_v2,255,247,102,102,119,103
paper_tof_3.qasm,basic_opt,57,44,18,18,21,19
paper_tof_3.qasm,full_reduce,57,83,18,35,21,13
paper_tof_3.qasm,teleport_reduce,57,96,18,18,21,19
paper_tof_3.qasm,agent_R_v2,57,41,18,17,21,15
paper_tof_3.qasm,agent_P_v2,57,39,18,15,21,15
paper_tof_3.qasm,agent_A_v2,57,41,18,17,21,15
paper_tof_4,basic_opt,75,73,30,30,35,31
paper_tof_4,full_reduce,75,127,30,55,35,17
paper_tof_4,teleport_reduce,75,137,30,30,35,31
paper_tof_4,agent_R_v2,75,70,30,28,35,29
paper_tof_4,agent_P_v2,75,68,30,28,35,25
paper_tof_4,agent_A_v2,75,73,30,30,35,31
paper_tof_5,basic_opt,105,102,42,42,49,43
paper_tof_5,full_reduce,105,172,42,76,49,26
paper_tof_5,teleport_reduce,105,190,42,42,49,43
paper_tof_5,agent_R_v2,105,99,42,41,49,39
paper_tof_5,agent_P_v2,105,94,42,39,49,33
paper_tof_5,agent_A_v2,105,102,42,42,49,43
paper_vbe_adder_3,basic_opt,150,128,70,58,70,56
paper_vbe_adder_3,full_reduce,150,176,70,82,70,17
paper_vbe_adder_3,teleport_reduce,150,268,70,58,70,62
paper_vbe_adder_3,agent_R_v2,150,126,70,57,70,54
paper_vbe_adder_3,agent_P_v2,150,125,70,56,70,54
paper_vbe_adder_3,agent_A_v2,150,126,70,57,70,54
